host_response_time,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,2,1,Real Bed,0,38,2,4,100,strict_14_with_grace_period,0.07,150
within a few hours,TRUE,Centrum-Oost,House,Private room,4,1,0,3,Real Bed,0,0,2,303,97,moderate,5.58,120
within a day,TRUE,Centrum-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,40,1,34,93,moderate,0.55,229
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,1,2,Real Bed,200,45,2,59,95,strict_14_with_grace_period,1.51,189
within an hour,FALSE,Centrum-Oost,Apartment,Entire home/apt,4,1.5,2,4,Real Bed,0,79,1,117,99,moderate,2.88,299
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,57,98,strict_14_with_grace_period,0.92,200
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,2,Real Bed,250,45,1,14,100,moderate,0.23,175
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,4,35,96,moderate,0.57,210
N/A,TRUE,Centrum-Oost,Loft,Entire home/apt,2,1,0,1,Real Bed,0,25,1,16,99,strict_14_with_grace_period,0.3,135
within a day,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Private room,2,1,1,1,Real Bed,0,25,2,108,93,moderate,1.74,65
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,40,4,7,91,flexible,0.11,145
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,10,100,moderate,0.16,140
within a day,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,25,1,25,92,strict_14_with_grace_period,0.4,92
N/A,TRUE,De Pijp - Rivierenbuurt,House,Entire home/apt,7,2.5,4,5,Real Bed,500,100,4,5,100,strict_14_with_grace_period,0.13,210
within a day,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,17,89,moderate,0.27,120
within an hour,TRUE,Centrum-West,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,0,0,2,21,97,strict_14_with_grace_period,0.48,225
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,50,1,17,95,moderate,0.27,170
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,45,1,14,95,moderate,0.23,120
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,30,1,16,84,moderate,0.41,120
N/A,TRUE,Oud-Noord,House,Entire home/apt,2,1,1,1,Real Bed,180,15,2,8,97,moderate,0.13,75
N/A,TRUE,De Pijp - Rivierenbuurt,Townhouse,Entire home/apt,4,1,4,6,Real Bed,0,75,2,21,93,strict_14_with_grace_period,0.34,325
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,25,3,44,84,moderate,0.71,70
N/A,FALSE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,30,1,15,95,moderate,0.47,105
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Private room,2,1,0,1,Real Bed,0,48,1,246,95,moderate,4.04,80
within an hour,TRUE,Westerpark,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,25,2,51,92,strict_14_with_grace_period,0.82,265
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1.5,2,3,Real Bed,300,69,2,34,90,moderate,0.71,115
within an hour,FALSE,Watergraafsmeer,House,Private room,2,1,1,1,Real Bed,0,30,1,181,98,strict_14_with_grace_period,2.94,99
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,35,2,18,99,moderate,0.29,153
N/A,TRUE,Centrum-West,Bed and breakfast,Private room,2,1,1,1,Real Bed,0,0,1,10,100,strict_14_with_grace_period,0.3,140
within an hour,FALSE,De Baarsjes - Oud-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,0,5,1,233,94,moderate,3.74,40
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,20,1,1,100,flexible,0.02,160
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,25,2,5,96,moderate,0.1,120
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,50,1,8,98,moderate,0.14,180
N/A,FALSE,Watergraafsmeer,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,50,2,4,90,moderate,0.08,125
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,150,40,1,38,95,flexible,0.61,306
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,0,1,Real Bed,0,20,2,23,93,strict_14_with_grace_period,0.37,150
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,0,5,7,91,flexible,0.13,214
N/A,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,35,2,2,100,moderate,0.04,93
within a few hours,TRUE,De Pijp - Rivierenbuurt,Condominium,Entire home/apt,2,1.5,1,1,Real Bed,0,0,1,21,98,moderate,0.34,175
within a day,TRUE,Westerpark,Apartment,Entire home/apt,4,2,5,5,Real Bed,150,70,4,78,99,strict_14_with_grace_period,1.33,295
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,50,1,2,70,moderate,0.05,190
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,4,1,0,2,Real Bed,0,30,1,6,92,flexible,0.13,89
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,14,97,moderate,0.23,119
within a day,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,75,2,60,95,strict_14_with_grace_period,1.28,100
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,4,1,3,2,Real Bed,300,79,1,5,96,moderate,0.1,150
N/A,FALSE,Westerpark,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,250,35,2,3,100,strict_14_with_grace_period,0.08,139
within an hour,FALSE,Bos en Lommer,Apartment,Entire home/apt,4,1,3,3,Real Bed,300,79,2,15,96,moderate,0.25,175
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,25,2,22,96,strict_14_with_grace_period,0.36,94
within an hour,FALSE,De Baarsjes - Oud-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,0,0,1,335,93,moderate,5.41,35
within a day,TRUE,Westerpark,House,Entire home/apt,4,1,3,4,Real Bed,350,65,1,10,98,strict_14_with_grace_period,0.18,375
within a few hours,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,25,2,54,98,moderate,0.89,145
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,3,1,2,1,Real Bed,350,40,2,40,98,strict_14_with_grace_period,0.65,135
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,3,3,Real Bed,0,20,1,7,97,flexible,4.29,170
within a few hours,TRUE,Gaasperdam - Driemond,Apartment,Entire home/apt,4,1,3,4,Real Bed,0,25,4,9,98,moderate,0.15,129
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,40,2,22,97,strict_14_with_grace_period,0.36,140
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,2,3,Real Bed,0,50,1,3,93,moderate,0.05,150
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,0,2,5,92,moderate,0.09,110
within a few hours,TRUE,De Baarsjes - Oud-West,Loft,Entire home/apt,4,1,2,2,Real Bed,0,55,2,14,100,strict_14_with_grace_period,0.23,254
within an hour,TRUE,Zuid,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,0,1,2,90,strict_14_with_grace_period,0.07,140
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,25,1,30,98,strict_14_with_grace_period,0.49,130
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,0,25,2,8,93,moderate,0.16,250
within a day,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,34,93,flexible,0.55,150
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,2,44,94,strict_14_with_grace_period,0.72,100
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,3,1,1,2,Real Bed,0,30,1,51,96,strict_14_with_grace_period,0.84,149
N/A,FALSE,Oud-Noord,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,35,1,4,90,moderate,0.08,90
within a day,FALSE,Noord-West,Townhouse,Entire home/apt,4,1,3,5,Real Bed,350,50,2,8,100,strict_14_with_grace_period,0.15,140
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,39,1,43,98,strict_14_with_grace_period,0.71,130
within an hour,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,350,75,1,13,89,strict_14_with_grace_period,0.22,250
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Private room,2,1.5,1,1,Real Bed,150,25,1,15,91,strict_14_with_grace_period,0.24,105
within a day,TRUE,Oostelijk Havengebied - Indische Buurt,Houseboat,Entire home/apt,6,2,3,6,Real Bed,0,75,1,15,95,flexible,0.57,350
within a few hours,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,0,2,45,99,strict_14_with_grace_period,0.75,125
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,70,2,11,92,strict_14_with_grace_period,0.18,140
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,13,97,strict_14_with_grace_period,0.26,100
within a few hours,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,80,2,8,100,moderate,0.13,199
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,60,2,30,97,strict_14_with_grace_period,0.49,250
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,35,2,55,97,strict_14_with_grace_period,1.13,180
within a day,FALSE,Osdorp,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,400,65,1,5,100,strict_14_with_grace_period,0.08,90
within an hour,TRUE,Oud-Oost,Guest suite,Private room,2,1.5,1,2,Real Bed,100,26,1,338,98,moderate,5.47,75
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,40,2,28,99,moderate,0.46,130
within an hour,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,0,2,Real Bed,100,0,1,27,96,flexible,0.44,99
within an hour,TRUE,Zuid,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,107,99,strict_14_with_grace_period,1.73,119
within an hour,TRUE,Oud-Noord,House,Entire home/apt,2,1,1,1,Real Bed,75,0,1,17,99,moderate,0.28,110
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,10,1,31,98,moderate,0.5,125
within a few hours,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,25,2,20,93,strict_14_with_grace_period,0.34,150
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,4,1,2,1,Real Bed,75,0,1,34,89,flexible,0.55,120
N/A,TRUE,Watergraafsmeer,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,4,95,strict_14_with_grace_period,0.07,130
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,50,1,38,97,moderate,0.74,118
within a day,TRUE,IJburg - Zeeburgereiland,Houseboat,Private room,4,1,0,2,Real Bed,200,0,2,343,95,strict_14_with_grace_period,5.57,85
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,350,25,1,26,98,moderate,0.43,285
N/A,TRUE,Centrum-Oost,Houseboat,Entire home/apt,2,1,1,1,Real Bed,0,0,1,36,99,strict_14_with_grace_period,0.59,190
within a day,TRUE,Westerpark,Apartment,Entire home/apt,4,1.5,2,3,Real Bed,0,60,2,20,100,moderate,0.68,200
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,2,2,2,Real Bed,0,65,2,37,97,strict_14_with_grace_period,0.61,222
within an hour,TRUE,Watergraafsmeer,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,40,2,9,100,moderate,0.18,180
N/A,FALSE,De Pijp - Rivierenbuurt,House,Entire home/apt,2,1,2,2,Real Bed,100,35,2,7,94,moderate,0.11,100
within a few hours,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,250,45,2,27,98,strict_14_with_grace_period,0.67,160
N/A,TRUE,Westerpark,Apartment,Entire home/apt,2,1,2,2,Real Bed,200,25,2,18,94,moderate,0.31,100
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,50,1,80,97,moderate,1.3,200
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,2,54,97,moderate,0.88,179
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,5,1,3,3,Real Bed,0,70,1,9,100,strict_14_with_grace_period,0.19,190
within a day,TRUE,Centrum-Oost,Apartment,Entire home/apt,5,1.5,3,6,Real Bed,150,0,6,54,98,strict_14_with_grace_period,0.9,325
within an hour,FALSE,Centrum-West,Apartment,Private room,4,1.5,2,2,Real Bed,0,42,2,231,97,strict_14_with_grace_period,4.03,266
within a few hours,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,35,1,20,96,moderate,0.33,140
within a day,TRUE,Westerpark,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,300,60,4,95,94,moderate,1.56,427
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1.5,2,2,Real Bed,100,30,2,3,93,moderate,0.08,129
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,49,2,33,99,strict_14_with_grace_period,0.58,129
within an hour,TRUE,Bos en Lommer,Apartment,Private room,2,1,0,1,Real Bed,100,25,1,24,96,strict_14_with_grace_period,0.59,55
N/A,TRUE,Zuid,Apartment,Entire home/apt,2,1,2,2,Real Bed,250,25,2,4,90,strict_14_with_grace_period,0.08,90
within a few hours,TRUE,Watergraafsmeer,Apartment,Entire home/apt,4,1,0,2,Real Bed,300,35,2,115,96,strict_14_with_grace_period,1.89,127
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,37,95,moderate,0.6,115
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,0,3,Real Bed,0,65,1,4,100,moderate,0.13,150
N/A,TRUE,Centrum-West,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,150,35,2,10,91,flexible,0.18,140
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,0,1,10,98,flexible,0.16,120
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,4,3,2,2,Real Bed,0,50,1,52,96,strict_14_with_grace_period,0.88,200
N/A,FALSE,Centrum-Oost,Boat,Entire home/apt,4,1,2,3,Real Bed,0,45,4,80,96,moderate,1.55,450
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,350,70,1,13,93,moderate,0.21,200
within an hour,TRUE,IJburg - Zeeburgereiland,Boat,Entire home/apt,big,1,big,big,Real Bed,250,50,1,158,91,strict_14_with_grace_period,2.68,383
within an hour,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,0,1,Real Bed,0,30,1,81,95,moderate,1.35,120
within a few hours,FALSE,Centrum-Oost,Townhouse,Private room,2,1,1,1,Real Bed,0,0,1,285,90,strict_14_with_grace_period,4.74,80
within a few hours,FALSE,De Baarsjes - Oud-West,House,Entire home/apt,4,1,2,2,Real Bed,0,30,1,19,95,moderate,0.31,125
within a day,TRUE,Zuid,House,Entire home/apt,6,2,4,4,Real Bed,0,120,1,30,99,strict_14_with_grace_period,0.5,510
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,300,95,4,37,97,strict_14_with_grace_period,0.76,340
N/A,TRUE,Watergraafsmeer,Guesthouse,Entire home/apt,4,1,2,4,Real Bed,400,60,2,94,98,moderate,1.53,130
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,4,1,1,1,Real Bed,150,50,2,52,98,strict_14_with_grace_period,0.95,150
within a day,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,30,100,moderate,0.61,270
within a day,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,2,Real Bed,300,25,2,43,98,moderate,0.73,195
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,60,1,33,92,moderate,0.54,99
within a few hours,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,2,Real Bed,100,29,1,75,97,moderate,1.23,159
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,1,1,Real Bed,100,50,1,11,98,moderate,0.18,75
N/A,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,20,1,7,100,flexible,0.13,109
within a day,TRUE,Watergraafsmeer,Apartment,Entire home/apt,2,1,0,3,Real Bed,0,14,2,28,96,strict_14_with_grace_period,0.47,139
within an hour,TRUE,Oostelijk Havengebied - Indische Buurt,Houseboat,Private room,4,1.5,2,3,Real Bed,0,40,2,127,94,moderate,2.07,149
within a few hours,TRUE,Centrum-West,House,Private room,2,1,1,1,Real Bed,0,0,1,2,100,strict_14_with_grace_period,0.04,149
within an hour,TRUE,Centrum-West,Bed and breakfast,Private room,2,2,1,2,Real Bed,200,25,2,425,98,strict_14_with_grace_period,6.9,120
N/A,TRUE,De Baarsjes - Oud-West,Condominium,Entire home/apt,2,1,1,1,Real Bed,0,25,2,18,94,strict_14_with_grace_period,0.34,100
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,50,2,3,93,moderate,0.08,350
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,30,2,12,95,moderate,0.2,125
within a day,TRUE,Centrum-West,House,Private room,2,1,1,1,Real Bed,100,20,2,397,94,flexible,6.5,80
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,45,1,37,91,strict_14_with_grace_period,0.61,143
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,2,52,90,strict_14_with_grace_period,0.85,99
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,4,2,3,3,Real Bed,0,90,4,41,99,strict_14_with_grace_period,0.69,495
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,2,2,Real Bed,0,0,1,22,98,strict_14_with_grace_period,0.75,100
within an hour,FALSE,Centrum-Oost,Apartment,Entire home/apt,3,1,1,2,Real Bed,0,45,3,316,92,moderate,5.19,138
within an hour,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,350,5,1,61,96,strict_14_with_grace_period,1,95
within an hour,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,100,25,1,11,98,flexible,0.18,90
within a few hours,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,2,58,94,strict_14_with_grace_period,0.95,52
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,113,96,strict_14_with_grace_period,2.03,245
within a few hours,TRUE,Centrum-West,Apartment,Private room,2,1,1,1,Real Bed,0,25,1,41,95,strict_14_with_grace_period,0.75,199
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,2,2,1,Real Bed,300,55,1,76,96,strict_14_with_grace_period,1.27,100
within a day,FALSE,Watergraafsmeer,Condominium,Private room,3,1,1,3,Real Bed,0,0,3,171,90,moderate,2.8,100
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,15,1,6,90,moderate,0.12,100
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,45,1,5,92,moderate,0.18,120
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,45,1,44,96,moderate,0.75,115
within a day,TRUE,Centrum-West,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,0,1,47,98,moderate,0.78,400
N/A,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,60,1,3,100,strict_14_with_grace_period,0.06,120
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,30,1,38,97,flexible,0.64,149
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,45,1,21,92,moderate,0.57,150
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,45,1,33,98,strict_14_with_grace_period,0.54,98
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1.5,2,4,Real Bed,0,30,1,53,96,moderate,0.89,199
N/A,FALSE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,38,1,11,93,strict_14_with_grace_period,0.18,139
within a day,TRUE,Centrum-Oost,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,0,25,1,95,98,flexible,1.59,140
within a few hours,TRUE,Centrum-West,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,22,92,strict_14_with_grace_period,0.37,169
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,400,50,1,12,84,moderate,0.2,95
within a few hours,FALSE,Westerpark,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,50,2,61,96,strict_14_with_grace_period,1.01,165
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,64,96,moderate,1.05,145
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,2,2,Real Bed,500,50,1,4,95,strict_14_with_grace_period,0.07,150
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,6,80,strict_14_with_grace_period,0.1,115
N/A,TRUE,Noord-Oost,House,Entire home/apt,4,1,3,3,Real Bed,0,35,4,7,100,moderate,0.13,196
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,25,2,6,100,strict_14_with_grace_period,0.1,105
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,130,50,4,34,96,strict_14_with_grace_period,0.56,350
within a day,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,0,1,Real Bed,235,35,1,17,93,moderate,0.37,99
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,8,100,strict_14_with_grace_period,0.13,120
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,0,2,29,97,strict_14_with_grace_period,0.57,104
within a few hours,FALSE,De Baarsjes - Oud-West,Loft,Entire home/apt,6,2,3,2,Real Bed,500,50,4,52,93,strict_14_with_grace_period,1.04,495
within a day,FALSE,Oud-Noord,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,0,0,1,11,98,flexible,0.49,12
within a day,TRUE,Zuid,Townhouse,Entire home/apt,7,1,4,4,Real Bed,150,40,big,21,100,moderate,0.35,400
within a day,TRUE,Buitenveldert - Zuidas,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,2,27,92,strict_14_with_grace_period,0.45,160
within a day,FALSE,Watergraafsmeer,Apartment,Private room,1,1,1,1,Real Bed,450,0,1,59,87,strict_14_with_grace_period,0.97,59
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,89,93,moderate,1.47,99
within an hour,TRUE,Centrum-Oost,Houseboat,Entire home/apt,4,1,2,2,Real Bed,350,65,2,51,99,strict_14_with_grace_period,0.85,135
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,25,1,21,99,moderate,0.44,99
N/A,FALSE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,30,2,32,98,moderate,0.53,169
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,1,29,96,strict_14_with_grace_period,0.64,150
within a day,FALSE,Zuid,Apartment,Entire home/apt,4,3,3,3,Real Bed,0,60,1,3,100,flexible,0.08,189
within an hour,TRUE,Centrum-West,Boat,Entire home/apt,4,1,1,2,Real Bed,0,75,2,38,98,strict_14_with_grace_period,0.63,240
within an hour,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,0,2,48,95,strict_14_with_grace_period,0.98,100
within an hour,FALSE,Centrum-West,Townhouse,Private room,1,1.5,1,1,Real Bed,0,20,1,88,93,moderate,1.44,100
within an hour,TRUE,Centrum-Oost,Apartment,Private room,1,1,1,1,Real Bed,0,25,2,67,90,moderate,1.11,119
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,1,Real Bed,300,25,1,23,98,moderate,0.38,85
within a few hours,TRUE,Oud-Noord,House,Entire home/apt,2,1,1,1,Real Bed,100,45,1,19,98,flexible,0.32,90
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,69,1,13,95,moderate,0.22,149
within an hour,TRUE,De Pijp - Rivierenbuurt,Bed and breakfast,Hotel room,4,1,1,2,Real Bed,250,70,1,234,96,strict_14_with_grace_period,4.57,140
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,450,0,1,7,100,strict_14_with_grace_period,0.12,130
within a few hours,TRUE,De Baarsjes - Oud-West,Condominium,Entire home/apt,4,1,3,4,Real Bed,0,60,1,27,99,strict_14_with_grace_period,0.52,246
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,0,1,Real Bed,150,25,1,243,94,moderate,4.05,120
N/A,FALSE,De Aker - Nieuw Sloten,House,Entire home/apt,4,1,2,2,Real Bed,250,60,2,16,100,moderate,1.18,79
