host_response_time,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price
within an hour,TRUE,Oud-Oost,Apartment,Private room,2,1,1,1,Real Bed,0,15,1,289,94,strict_14_with_grace_period,2.87,70
within a few hours,TRUE,Westerpark,Bed and breakfast,Hotel room,4,1,2,2,Real Bed,0,0,2,54,97,moderate,1.38,135
within an hour,FALSE,Centrum-West,Townhouse,Private room,1,1.5,1,1,Real Bed,0,20,1,199,95,moderate,1.93,105
within an hour,TRUE,Centrum-West,Guesthouse,Entire home/apt,4,1,1,2,Real Bed,0,15,2,786,89,moderate,7.83,95
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,4,1,1,2,Real Bed,500,25,2,130,96,moderate,1.27,249
within an hour,TRUE,Centrum-West,Apartment,Private room,1,1.5,1,0,Real Bed,0,0,1,479,94,moderate,7.11,45
within an hour,TRUE,De Baarsjes - Oud-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,150,15,1,83,95,strict_14_with_grace_period,0.83,100
N/A,FALSE,De Pijp - Rivierenbuurt,Boat,Entire home/apt,4,1,2,2,Real Bed,150,25,2,29,97,strict_14_with_grace_period,0.29,189
within a day,TRUE,Centrum-Oost,Bed and breakfast,Private room,2,1,1,2,Real Bed,0,25,2,153,85,strict_14_with_grace_period,2.73,75
within an hour,FALSE,Slotervaart,Bed and breakfast,Private room,2,1,1,2,Real Bed,200,50,2,172,90,strict_14_with_grace_period,1.73,40
within a day,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,50,1,50,98,strict_14_with_grace_period,0.5,135
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,2,33,95,moderate,0.34,150
within a few hours,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,150,25,2,81,98,moderate,0.8,100
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,30,2,3,100,strict_14_with_grace_period,0.1,100
within an hour,TRUE,Centrum-West,Guest suite,Private room,2,1,1,1,Real Bed,0,0,2,361,96,moderate,3.98,97
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Private room,2,1,1,1,Real Bed,0,25,1,520,93,moderate,5.21,87
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,35,1,20,86,moderate,0.23,170
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,4,1,1,3,Real Bed,0,40,2,151,93,moderate,1.53,99
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,1,Real Bed,0,30,1,29,97,strict_14_with_grace_period,0.3,80
within a day,TRUE,De Pijp - Rivierenbuurt,Townhouse,Private room,4,2.5,3,3,Real Bed,250,50,4,94,96,strict_14_with_grace_period,1,259
within an hour,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,3,1,2,2,Real Bed,100,0,2,85,95,strict_14_with_grace_period,0.85,98
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,4,95,flexible,0.36,52
within an hour,TRUE,Bos en Lommer,Apartment,Private room,2,1,1,1,Real Bed,100,4,2,589,88,moderate,5.9,89
within an hour,TRUE,Bos en Lommer,Apartment,Private room,2,1,1,1,Real Bed,100,19,2,530,84,moderate,5.37,79
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,53,95,strict_14_with_grace_period,0.66,145
within a few hours,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,2,3,0,Real Bed,0,50,1,37,97,moderate,0.61,74
within an hour,FALSE,Centrum-West,Townhouse,Private room,1,1.5,1,1,Real Bed,0,20,1,247,91,moderate,2.55,115
within a few hours,TRUE,Centrum-West,Condominium,Entire home/apt,2,1,1,1,Real Bed,500,50,1,20,100,moderate,0.21,165
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,2,3,Real Bed,100,0,2,103,95,moderate,1.04,120
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,6,1,3,3,Real Bed,250,94,1,47,96,strict_14_with_grace_period,0.47,79
within an hour,FALSE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,25,2,135,86,strict_14_with_grace_period,1.37,125
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,60,2,101,97,moderate,1.04,100
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,2,3,Real Bed,300,0,4,26,89,strict_14_with_grace_period,0.27,230
N/A,FALSE,Oud-Noord,Apartment,Entire home/apt,2,1,2,2,Real Bed,150,30,4,15,98,strict_14_with_grace_period,0.16,125
within an hour,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1,2,4,Real Bed,0,0,1,192,91,strict_14_with_grace_period,2.01,230
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Private room,2,1,1,1,Real Bed,150,0,1,344,93,moderate,3.51,50
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,2,2,Real Bed,200,50,2,12,95,strict_14_with_grace_period,0.12,120
within an hour,TRUE,Centrum-West,Bed and breakfast,Hotel room,4,1,1,3,Real Bed,0,40,2,167,95,moderate,1.72,160
within an hour,FALSE,Zuid,Apartment,Entire home/apt,3,1,2,2,Real Bed,250,60,1,10,86,strict_14_with_grace_period,0.12,150
within a day,FALSE,Bos en Lommer,Apartment,Entire home/apt,4,1,2,3,Real Bed,0,75,4,8,100,strict_14_with_grace_period,0.08,225
within an hour,TRUE,Centrum-Oost,Loft,Private room,2,1,1,1,Real Bed,0,0,1,550,99,moderate,5.64,95
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,250,50,1,38,99,strict_14_with_grace_period,0.39,129
N/A,TRUE,Westerpark,Apartment,Entire home/apt,3,1,1,2,Real Bed,0,59,2,42,96,strict_14_with_grace_period,0.43,99
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,2,Real Bed,325,49,1,38,87,strict_14_with_grace_period,0.39,79
N/A,FALSE,Zuid,Apartment,Entire home/apt,4,1.5,3,4,Real Bed,300,45,1,24,97,moderate,0.26,284
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,29,1,2,90,flexible,0.04,99
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1.5,2,3,Real Bed,0,40,1,19,95,strict_14_with_grace_period,0.2,180
within a day,FALSE,Centrum-West,Apartment,Private room,3,1,1,2,Real Bed,0,20,2,158,96,moderate,1.65,114
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1.5,2,3,Real Bed,250,80,1,15,97,moderate,0.25,150
within an hour,FALSE,Centrum-West,Guest suite,Private room,2,1,1,1,Real Bed,500,0,2,3,100,strict_14_with_grace_period,0.03,265
within an hour,TRUE,Bos en Lommer,Apartment,Private room,2,1,1,1,Real Bed,100,25,2,19,91,moderate,0.2,99
within an hour,TRUE,De Baarsjes - Oud-West,Houseboat,Entire home/apt,4,1,2,2,Real Bed,200,70,2,198,94,strict_14_with_grace_period,2.05,170
within an hour,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1.5,1,2,Real Bed,250,30,2,125,94,flexible,1.3,100
